brand,name,old_prices_reais,old_prices_centavos,new_prices_reais,new_price_centavos,review_rating_number,review_amount
MIZUNO,Mizuno Space 3 Masculino Adultos,199,17,33,,4.8,(1427)
LORENZZO LOPEZ,Tênis Masculino Para Academia E Corrida Super Macio E Leve,39,90,13,30,,
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,63,12,4.5,(268)
UNDER ARMOUR,Tênis Under Armour Charged Slight 2 Treino Caminhada Corrida,399,99,259,99,4.7,(18)
FILA,Fila KR6 Feminino Adultos,547,44,427,40,4.8,(11)
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,99,193,19,4.8,(657)
OLYMPIKUS,Olympikus Asfalto Masculino Adultos,231,99,22,55,,
OLDSEN,Tênis Masculino Para Correr Caminhar Colorado Oferta Barato ,78,90,67,06,4.2,(716)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,78,90,72,58,4.6,(3037)
,Tenis Feminino E Masculino Casual Old Estilo Off Star Oferta,59,90,53,20,4.2,(151)
OLYMPIKUS,Tenis Masculino Olympikus Beats Supporter Evasense - Oficial,377,85,251,75,4.8,(50)
OLYMPIKUS,Tenis Olympikus Corre 3 Masculino Corrida Original ,499,90,49,,,
MIZUNO,Tênis Masculino Mizuno Wave Falcon 5 Corrida Caminhada,429,90,296,63,,
FILA,Tênis Fila Masculino Recovery Corrida Caminhada Confortável,379,99,334,39,5.0,(2)
,Tenis Masculino Feminino Academia Leve Macio Confortável,68,99,6,71,4.5,(1602)
PUMA,Puma St Runner V3 Masculino Adultos,437,49,328,11,4.9,(7)
,Tênis Masculino Esportivo Caminhada Academia Corrida,89,90,78,21,4.5,(492)
FILA,Tênis Fila Float Prime Masculino Adulto Confortável Original,344,90,253,65,4.7,(373)
OLYMPIKUS,Tenis Olympikus Masculino Index 3 Original Lançamento + Nf,199,99,159,99,4.7,(154)
OLYMPIKUS,Olympikus Treino Volcan Masculino Adultos,149,99,14,58,4.7,(791)
MIZUNO,Kit Tênis Mizuno Masculino Victory Rsp + Meia Color Sports,639,90,537,51,,
MIZUNO,Kit Tênis Mizuno Masculino Victory Rsp + Meia Color Sports,639,90,531,11,,
VIA LIVRE,Tênis Masculino Advanced Running Ultra Leve Academia,131,90,117,39,,
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,159,90,4.5,(5504)
POLO JOY,Tenis Meia Polo Joy Masculino Caminhada Original Confortavel,129,99,123,49,4.7,(13)
OLYMPIKUS,Tenis Masculino Olympikus Dynamic,249,99,229,75,4.8,(276)
,Tenis Masculino Confortavel Leve Academia Promoçao Original,99,90,79,92,4.5,(126)
UNDER ARMOUR,Tênis Under Armour Academia Caminhada Masculino Charged 2,262,49,209,99,4.8,(326)
REEBOK,Tênis Masculino Royal Complete Sport Reebok Novo,329,99,236,99,4.9,(13)
OLYMPIKUS,Olympikus Corre Vento 2 Masculino Adultos,439,90,396,60,5.0,(8)
WM,Tenis Revelation Masculino Feminino Promoção Pronta Entrega,109,99,10,69,4.5,(68)
OLYMPIKUS,Tênis Masculino Dynamic Azul-marinho Olympikus ,279,99,210,99,4.8,(594)
,Tênis Para Treino Academia Caminhada Corrida Tryd 7000 Leve,109,99,94,05,4.5,(347)
